geo,norm_ratio_stem,norm_ratio_iteng,norm_pay_ratio,norm_ter_ratio
Austria,0.16605950212507595,0.2115384615384615,0.17826086956521756,0.245984780220
Belgium,0.4333333333333333,0.03846153846153849,0.769565217391304,0.527754296703
Bulgaria,0.9084967320261436,0.846153846153846,0.44782608695652165,0.626373626374
Switzerland,0.011000455640174666,0.11538461538461538,0.20000000000000018,0.116883120879
Cyprus,0.5802469135802472,0.4807692307692307,0.6086956521739131,0.503027582418
Czechia,0.2931442080378247,0.34615384615384615,0.28695652173913067,0.531640769231
Germany,0.22301361190250096,0.44230769230769224,0.2043478260869562,0.076923076923
Denmark,0.31069125805967934,0.576923076923077,0.3956521739130433,0.505762527473
Estonia,0.8743576111997168,0.5,0.0826086956521735,0.998582065934
Greece,0.6364804110468847,0.9807692307692307,0.5478260869565217,0.473748472527
Spain,0.3858742463393625,0.2884615384615384,0.591304347826087,0.423944472527
Finland,0.41893644617380016,0.19230769230769226,0.2739130434782606,0.597455175824
France,0.225853304284677,0.326923076923077,0.31304347826086937,0.338566197802
Croatia,0.7068557919621749,0.5192307692307693,0.5130434782608695,0.855311351648
Hungary,0.8209497841399682,0.2884615384615385,0.25217391304347847,0.565323560440
Ireland,0.45298032407407407,0.34615384615384615,0.508695652173913,0.274725274725
Iceland,0.6501501501501502,0.40384615384615385,0.43478260869565205,0.720182252747
Italy,0.55331088664422,0.40384615384615385,0.8173913043478258,0.704866560440
Lithuania,0.7664220824598182,0.15384615384615377,0.43478260869565205,0.626373626374
Luxembourg,0.18469299864648678,0.38461538461538464,0.9695652173913042,0.137973142857
Latvia,0.9212103350034384,0.23076923076923075,0.030434782608695678,0.767660912088
Malta,0.31438812083973366,0.17307692307692302,0.5652173913043478,0.557692307692
Netherlands,0.1808361391694725,0.19230769230769226,0.38260869565217376,0.263970076923
Norway,0.4066754501537109,0.19230769230769226,0.41739130434782595,0.478960065934
Poland,1.0162354134956872,0.5192307692307693,0.8043478260869562,0.641223637363
Portugal,0.46843434343434337,0.4615384615384615,0.5043478260869565,0.569533912088
NULL,NULL,NULL,NULL,NULL
Serbia,0.9527879527879524,0.8846153846153845,0.9999999999999999,0.668639054945
Sweden,0.4173597782043078,0.576923076923077,0.5130434782608695,0.418803417582
Slovenia,0.7176699372403431,0.13461538461538464,0.8652173913043476,0.820297351648
Slovakia,0.7575143532590342,0.09615384615384613,0.31304347826086937,0.626373626374
